days_numbered,date,avg_air_temp,avg_water_temp,max_air_temp_khu,min_air_temp_khu,morning_water_temp_khu,afternoon_water_temp_khu
104,4/14/18,30.85,30.2,36.2,25.5,27.6,32.8
105,4/15/18,28.75,30.45,35.5,22,28.8,32.1
106,4/16/18,30.85,31.4,37.2,24.5,28.5,34.3
107,4/17/18,31,30.8,36.4,25.6,31.4,30.2
108,4/18/18,27.7,32.1,33.9,21.5,30.6,33.6
109,4/19/18,30.5,31.2,35.5,25.5,29.6,32.8
110,4/20/18,31.4,31.6,36,26.8,29.5,33.7
111,4/21/18,31,32.6,35,27,30.8,34.4
112,4/22/18,29.95,31.25,35.5,24.4,30.2,32.3
113,4/23/18,29.8,31.8,35.8,23.8,29.8,33.8
114,4/24/18,29.85,31.85,35.5,24.2,29.5,34.2
115,4/25/18,30.25,31.8,35,25.5,29.9,33.7
116,4/26/18,28.35,30.4,34.2,22.5,28.8,32
117,4/27/18,28.25,30.7,35,21.5,29,32.4
118,4/28/18,30.35,31,35.7,25,29.2,32.8
119,4/29/18,29.65,31.3,33.8,25.5,29.7,32.9
120,4/30/18,28.3,30.95,33,23.6,28.9,33
121,5/1/18,26.75,30.3,33,20.5,27.1,33.5
122,5/2/18,29.35,31.05,35.2,23.5,28.1,34
123,5/3/18,27.35,31.1,33.2,21.5,27.7,34.5
124,5/4/18,29.75,32.05,35.2,24.3,29.5,34.6
125,5/5/18,30.75,32.15,35.5,26,29.5,34.8
126,5/6/18,29,32,34.5,23.5,29.6,34.4
127,5/7/18,30.5,31.4,33.5,27.5,30,32.8
128,5/8/18,32.2,31.8,36.2,28.2,30.2,33.4
129,5/9/18,29.5,31.25,35,24,29.9,32.6
130,5/10/18,30.7,30.3,33.7,27.7,29.6,31
131,5/11/18,29.85,30.2,36.2,23.5,29.4,31
132,5/12/18,27.75,29.95,34.5,21,28.2,31.7
133,5/13/18,26,29.55,27.5,24.5,29.3,29.8
134,5/14/18,28.1,29.75,34.2,22,28.6,30.9
135,5/15/18,29.7,30.2,34.6,24.8,29.2,31.2
136,5/16/18,23.3,28.55,25.6,21,29,28.1
137,5/17/18,27.35,29.45,33.7,21,28.5,30.4
138,5/18/18,29.25,28.85,32,26.5,28.5,29.2
139,5/19/18,28.2,30,34,22.4,28.1,31.9
140,5/20/18,29,30.4,31.2,26.8,28.8,32
141,5/21/18,28.4,30.5,33,23.8,28.9,32.1
142,5/22/18,31,30.55,34.5,27.5,29,32.1
143,5/23/18,29.25,30.7,33.3,25.2,29.2,32.2
144,5/24/18,26,30.85,26,26,29.5,32.2
145,5/25/18,31.2,30.25,35.2,27.2,28.9,31.6
146,5/26/18,31.4,31.85,36,26.8,31,32.7
147,5/27/18,31.9,32.6,36.5,27.3,32,33.2
148,5/28/18,31.35,32.75,35.7,27,32.7,32.8
149,5/29/18,31,32.85,34.5,27.5,31.5,34.2
150,5/30/18,31.95,32.05,36.7,27.2,31,33.1
151,5/31/18,31.65,31.55,34.5,28.8,30.5,32.6
152,6/1/18,30,30.95,34,26,30.6,31.3
153,6/2/18,30.5,30.8,35.5,25.5,29.8,31.8
154,6/3/18,30.9,30.75,34.8,27,30,31.5
155,6/4/18,31.15,31.5,35.8,26.5,30.9,32.1
156,6/5/18,30.85,32.3,34.7,27,31.2,33.4
157,6/6/18,31.25,32.35,35.5,27,30.8,33.9
158,6/7/18,31.6,32.5,36,27.2,29.8,35.2
159,6/8/18,31.9,32.1,36,27.8,30.5,33.7
160,6/9/18,31.5,33.5,35.5,27.5,32.2,34.8
161,6/10/18,29.45,32.6,33.5,25.4,31.6,33.6
162,6/11/18,28.15,32.15,29.8,26.5,31.4,32.9
163,6/12/18,30.5,31.7,34.6,26.4,31,32.4
164,6/13/18,30.5,32.15,35,26,30.5,33.8
165,6/14/18,33.1,34.1,37.2,29,31.1,37.1
166,6/15/18,33.5,34.2,38.5,28.5,32.1,36.3
167,6/16/18,33.25,34.95,37,29.5,32.9,37
168,6/17/18,30.6,34.6,34.7,26.5,31.7,37.5
169,6/18/18,34.25,34.95,39,29.5,31.5,38.4
170,6/19/18,32.05,34.75,34.8,29.3,32.7,36.8
171,6/20/18,30.6,33.5,35.2,26,30.6,36.4
172,6/21/18,30.25,34.05,34.5,26,31.4,36.7
173,6/22/18,31.4,34.05,35.2,27.6,31.2,36.9
174,6/23/18,28.35,32.3,29.2,27.5,29.8,34.8
175,6/24/18,28.95,31.7,31.5,26.4,30.2,33.2
176,6/25/18,27.95,32.6,28.6,27.3,29.8,35.4
177,6/26/18,29.75,30.7,33.5,26,29.6,31.8
178,6/27/18,29.35,32.6,32.2,26.5,29.9,35.3
179,6/28/18,28.5,33.25,31.5,25.5,29.3,37.2
180,6/29/18,29.25,33.45,32.5,26,30.2,36.7
181,6/30/18,29.85,32.2,34.2,25.5,29.8,34.6
182,7/1/18,30.8,33.6,34,27.6,30.5,36.7
183,7/2/18,30.3,33.15,33.4,27.2,31.3,35
184,7/3/18,28.05,31.8,30.5,25.6,30.4,33.2
185,7/4/18,28.55,31.15,30.5,26.6,29.6,32.7
186,7/5/18,29.35,31,32.2,26.5,29.2,32.8
187,7/6/18,31,31.2,35.2,26.8,29.5,32.9
188,7/7/18,30.05,31.5,33.6,26.5,30,33
189,7/8/18,26.5,32,26.5,26.5,30.9,33.1
190,7/9/18,29.9,31.85,33,26.8,30.5,33.2
191,7/10/18,30.1,31.9,33,27.2,30.5,33.3
192,7/11/18,30.5,32.2,33.5,27.5,31,33.4
193,7/12/18,30.5,32.55,33.5,27.5,31.6,33.5
194,7/13/18,30.5,33.05,34,27,32.5,33.6
195,7/14/18,30.6,33.05,34,27.2,32.4,33.7
196,7/15/18,29.55,33.25,32.1,27,32.7,33.8
197,7/16/18,30,33.4,33,27,32.6,34.2
198,7/17/18,29.9,33.7,33.4,26.4,32.5,34.9
199,7/18/18,30.9,34.3,34.6,27.2,32.2,36.4
200,7/19/18,32,33.7,36.5,27.5,32.3,35.1
201,7/20/18,30.95,31.9,34.5,27.4,30.6,33.2
202,7/21/18,29.35,32.05,31.2,27.5,31.3,32.8
203,7/22/18,30.05,31.4,33.6,26.5,30.1,32.7
204,7/23/18,29,32.35,31.5,26.5,31.5,33.2
205,7/24/18,28.5,31.6,32,25,29.6,33.6
206,7/25/18,28.95,30.6,30.4,27.5,29.4,31.8
207,7/26/18,26.7,31.45,28.4,25,30.1,32.8
208,7/27/18,29.1,30.9,31.7,26.5,29.6,32.2
209,7/28/18,28.25,29.95,31,25.5,29.2,30.7
210,7/29/18,29.6,30.6,33,26.2,30.1,31.1
211,7/30/18,29.7,30.8,33,26.4,30.2,31.4
212,7/31/18,29.75,30.75,33,26.5,30.1,31.4
213,8/1/18,26.75,29.8,28,25.5,29.1,30.5
214,8/2/18,28.9,30.75,31.8,26,29.7,31.8
215,8/3/18,29.6,31,33,26.2,30,32
216,8/4/18,30.25,31.4,34,26.5,30.2,32.6
217,8/5/18,30.15,31.45,32.8,27.5,30.1,32.8
218,8/6/18,30.7,30.7,34,27.4,29.8,31.6
219,8/7/18,28.6,32.1,31.7,25.5,31,33.2
220,8/8/18,30,31.85,34,26,30.8,32.9
221,8/9/18,29.95,32.45,33.2,26.7,31.4,33.5
222,8/10/18,31,33.05,35,27,31.3,34.8
223,8/11/18,31.25,33.45,35,27.5,32.2,34.7
224,8/12/18,31.35,32.8,35.2,27.5,31.2,34.4
225,8/13/18,30.95,32.65,34.5,27.4,30.6,34.7
226,8/14/18,30.75,32.05,34.2,27.3,30.3,33.8
227,8/15/18,30.5,33.25,33,28,31.4,35.1
228,8/16/18,29.8,32.3,32.6,27,31.3,33.3
229,8/17/18,30.9,32.35,35,26.8,31.2,33.5
230,8/18/18,31.55,32.5,35.5,27.6,31,34
231,8/19/18,29.25,32.5,30,28.5,31,34
232,8/20/18,29.7,32.75,33,26.4,31,34.5
233,8/21/18,30,32.85,33.5,26.5,31.2,34.5
234,8/22/18,30.9,33.1,34.4,27.4,31.2,35
235,8/23/18,30,33.45,33.5,26.5,31.9,35
236,8/24/18,30.75,33.15,34,27.5,32.2,34.1
237,8/25/18,30.75,33.7,34,27.5,32.2,35.2
238,8/26/18,30.25,33.95,34,26.5,32.6,35.3
239,8/27/18,30.2,33.05,33,27.4,32.5,33.6
240,8/28/18,30.25,33.05,33.5,27,32.2,33.9
241,8/29/18,29.75,33,32.5,27,31.9,34.1
242,8/30/18,29.85,32.55,32.7,27,31.8,33.3
243,8/31/18,30.3,33.2,33.2,27.4,32.2,34.2
244,9/1/18,30,32.4,33,27,32,32.8
