YEAR,DOY,WS2M,RH2M,SRAD,air_min,air_max,SRAD_kj
2018,93,1.16,51.02,22.05,20.86,35.9,918.75
2018,94,1.28,49.56,22.5,22.3,36.75,937.5
2018,95,2.02,63.2,20.76,22.49,33.39,865
2018,96,1.15,68.45,20.12,22.51,34.01,838.3333333
2018,97,0.99,76.49,18.74,23.88,30.83,780.8333333
2018,98,1.21,76.76,22.21,23.45,30.86,925.4166667
2018,99,1.28,72.36,21.94,22.58,32.29,914.1666667
2018,100,1.51,68.93,19.14,22.87,33.46,797.5
2018,101,1.91,66.17,21.24,22.36,34.95,885
2018,102,1.66,65.04,22.06,22.5,35.86,919.1666667
2018,103,1.56,68.1,21.87,22.82,34.66,911.25
2018,104,1.71,69.74,22.54,23.25,35.36,939.1666667
2018,105,1.83,67.63,23.24,23.43,35.66,968.3333333
2018,106,1.13,65.02,23.5,22.86,36.18,979.1666667
2018,107,1.6,66.65,22.32,23.98,36.46,930
2018,108,1.89,73.86,20.78,24.12,34.37,865.8333333
2018,109,2.25,76.39,20.13,24.57,34.26,838.75
2018,110,2.72,74.5,21.21,24.52,35.36,883.75
2018,111,3.37,76.58,-99,25.53,34.91,-4125
2018,112,2.27,79.6,17.77,25.42,33.86,740.4166667
2018,113,1.31,74.59,21.66,24.87,34.7,902.5
2018,114,1.05,68.85,20.93,24.45,35.53,872.0833333
2018,115,1.97,70.88,22.2,23.61,34.9,925
2018,116,1.64,76.65,20.67,23.59,33.21,861.25
2018,117,0.98,75.08,23.78,23.86,32.16,990.8333333
2018,118,1.39,68.69,22.31,23.31,34.3,929.5833333
2018,119,2.56,72.45,18.83,23.76,34.12,784.5833333
2018,120,2.24,82.35,4.27,24.25,32.13,177.9166667
2018,121,0.88,79.61,18.43,24.31,31.8,767.9166667
2018,122,1.45,80.3,20.94,23.6,32.17,872.5
2018,123,1.22,80.31,22.32,23.85,31.6,930
2018,124,1.82,77.32,18.79,23.88,32.57,782.9166667
2018,125,2.71,80.03,21.21,24.34,33.69,883.75
2018,126,3.31,78.58,18.58,25.48,34.44,774.1666667
2018,127,3.42,79.17,14.57,26.06,34.56,607.0833333
2018,128,3.16,75.27,20.51,26.31,36.14,854.5833333
2018,129,2.86,78.1,18.5,26.07,35.05,770.8333333
2018,130,2.07,77.35,10.75,25.28,34.65,447.9166667
2018,131,1.63,81.36,21.6,24.84,33.15,900
2018,132,1.19,78.73,20.73,24.48,32.84,863.75
2018,133,1.94,83.07,8.72,24.65,32.06,363.3333333
2018,134,1.27,82.61,22.78,25.06,30.06,949.1666667
2018,135,1.91,78.86,22.33,23.82,32.3,930.4166667
