time,latitude,longitude,WS10M,RH2M,T2M,ALLSKY_SFC_SW_DWN
37,22.78331,89.53331,2.084437062,49.01448063,21.407413,4.593416348
38,22.78331,89.53331,2.135552562,49.8660933,21.78394142,4.787447823
39,22.78331,89.53331,2.235326476,49.39693111,22.06136219,4.697987665
40,22.78331,89.53331,2.272425125,52.50050976,22.15841465,4.599127673
41,22.78331,89.53331,2.272020961,49.21543482,22.05062391,4.744381814
42,22.78331,89.53331,2.278018744,44.72382837,22.03629159,5.02980983
43,22.78331,89.53331,2.455161093,46.56526075,22.13539895,4.758471213
44,22.78331,89.53331,2.55954855,47.18654608,22.14764672,4.693130362
45,22.78331,89.53331,2.525380952,46.19872395,22.52820485,4.923734678
46,22.78331,89.53331,2.499016679,46.20029466,22.6901246,5.25429324
47,22.78331,89.53331,2.58776547,48.73835207,22.81617005,4.761395898
48,22.78331,89.53331,2.346350819,49.22782596,23.20982981,4.737201993
49,22.78331,89.53331,2.152303985,49.39403624,23.3465117,5.178626053
50,22.78331,89.53331,2.306673965,48.76270852,23.5428628,5.122255164
51,22.78331,89.53331,2.37832187,48.12461,23.86404596,5.039535904
52,22.78331,89.53331,2.504002551,46.78021425,24.08193798,4.986582744
53,22.78331,89.53331,2.446061917,45.35560123,24.14755061,5.456539736
54,22.78331,89.53331,2.352606891,43.92666586,24.41815839,5.450302642
55,22.78331,89.53331,2.429948052,44.27849939,24.83781305,5.363757218
56,22.78331,89.53331,2.373937907,47.86142265,25.01393451,5.19066297
57,22.78331,89.53331,2.532566569,48.03056444,24.96620667,5.160837576
58,22.78331,89.53331,2.595281236,45.63970368,24.89093969,5.434779392
59,22.78331,89.53331,2.37410053,43.77781647,25.03948399,5.60439472
60,22.78331,89.53331,2.347330795,43.61294482,25.2338997,5.572888389
61,22.78331,89.53331,2.357970797,41.19641304,25.45527528,5.360897127
62,22.78331,89.53331,2.734507321,44.15722067,25.66138611,5.429191264
63,22.78331,89.53331,2.415416702,45.75346873,25.85135748,5.499177497
64,22.78331,89.53331,2.754434831,44.30495419,26.04795869,5.333804238
65,22.78331,89.53331,2.496516413,44.87434363,26.14062066,5.718784403
66,22.78331,89.53331,2.376946489,41.43407944,26.24662572,5.790101549
67,22.78331,89.53331,2.165667129,40.61324775,26.20816592,5.418928648
68,22.78331,89.53331,2.362585379,42.95303252,26.59978382,5.561506538
69,22.78331,89.53331,2.424712641,43.24264946,27.10305078,5.469581787
70,22.78331,89.53331,2.418112855,47.54172003,27.12567847,5.054919285
71,22.78331,89.53331,2.513070687,46.89687349,26.9176693,5.561302933
72,22.78331,89.53331,2.351278456,44.24354699,26.90166464,5.795747236
73,22.78331,89.53331,2.33528937,44.16872354,27.50630783,5.695738552
74,22.78331,89.53331,2.333748707,44.93316817,27.58929291,5.543357987
75,22.78331,89.53331,2.365878162,42.99352028,27.45494565,5.678571603
76,22.78331,89.53331,2.421174055,44.6057886,27.59685717,5.708230904
77,22.78331,89.53331,2.504443984,45.75055318,27.79088901,5.837816909
78,22.78331,89.53331,2.665986305,44.69810204,28.06376613,6.061851601
79,22.78331,89.53331,2.702815003,46.40419297,28.22736434,5.867508328
80,22.78331,89.53331,2.744600477,46.28677283,28.73099237,6.1180765
81,22.78331,89.53331,3.132171518,48.42516268,28.98665681,5.88189036
82,22.78331,89.53331,2.938208414,51.26165827,29.11121276,6.013651978
83,22.78331,89.53331,2.826292675,50.22500657,29.15972623,5.630828771
84,22.78331,89.53331,2.958912181,48.35477113,29.14680624,5.9437092
85,22.78331,89.53331,3.055609612,49.57960011,29.46236575,6.03446466
86,22.78331,89.53331,3.083659772,50.64307664,29.43726602,5.884725017
87,22.78331,89.53331,3.022437661,50.70200098,29.57153957,5.817788639
88,22.78331,89.53331,3.220844399,51.18858813,29.77064943,5.708727981
89,22.78331,89.53331,3.516471721,54.91203114,29.81089646,5.648990901
90,22.78331,89.53331,3.473429496,58.88584481,29.56265391,5.676911684
91,22.78331,89.53331,3.311026805,58.83141914,29.54944173,5.96340874
92,22.78331,89.53331,3.312881898,58.73274201,29.56264793,5.761940992
93,22.78331,89.53331,3.341704239,56.84969059,29.95236997,5.878334815
94,22.78331,89.53331,3.605099542,57.85239516,30.11846257,5.884074161
95,22.78331,89.53331,3.24593257,58.1915711,29.9747094,5.431847865
96,22.78331,89.53331,2.934757191,57.88683535,30.03754535,5.883093722
97,22.78331,89.53331,3.329622981,59.14834012,29.92489448,6.132888833
98,22.78331,89.53331,3.540945643,58.08885403,30.05067561,5.967935648
99,22.78331,89.53331,3.425492425,56.79667999,30.30985191,5.620491521
100,22.78331,89.53331,3.535994674,58.21282471,30.19867313,5.979562967
